id,name,category,capacity,occupants,operating_hours,status,is_open
366,School_1,School,150,0,06:00-21:00,Available,TRUE
369,School_2,School,200,0,06:00-21:00,Available,TRUE
377,School_3,School,250,0,06:00-21:00,Available,TRUE
381,School_4,School,300,0,06:00-21:00,Available,TRUE
385,School_5,School,150,0,06:00-21:00,Available,TRUE
390,School_6,School,175,0,06:00-21:00,Available,TRUE
395,School_7,School,300,0,06:00-21:00,Available,TRUE
401,School_8,School,400,0,06:00-21:00,Available,TRUE
406,School_9,School,500,0,06:00-21:00,Available,TRUE
365,Church_1,Church,550,0,06:00-21:00,Available,TRUE
373,Church_2,Church,450,0,00:00-23:59,Available,TRUE
379,Church_3,Church,200,10,00:00-23:59,Available,TRUE
383,Church_4,Church,225,0,00:00-23:59,Available,TRUE
388,Church_5,Church,325,0,00:00-23:59,Available,TRUE
392,Church_6,Church,425,0,00:00-23:59,Available,TRUE
394,Church_7,Church,475,0,00:00-23:59,Available,TRUE
397,Church_8,Church,235,0,00:00-23:59,Available,TRUE
399,Church_9,Church,425,0,00:00-23:59,Available,TRUE
404,Church_10,Church,500,0,00:00-23:59,Available,TRUE
407,Church_11,Church,475,0,00:00-23:59,Available,TRUE
