id,x,y,type
0,460.18,198.37,road
1,566.69,247.82,road
2,623.75,276.35,road
3,688.41,306.78,road
4,821.55,369.54,road
5,886.22,399.97,road
6,910.94,411.38,road
7,922.35,398.07,road
8,952.78,392.36,road
9,956.59,373.34,road
10,931.86,325.8,road
11,903.33,341.01,road
12,992.72,380.95,road
13,1045.98,449.42,road
14,1034.57,472.25,road
15,977.51,443.72,road
16,1118.25,525.5,road
17,1184.82,597.77,road
18,1160.09,658.64,road
19,1141.08,692.87,road
20,1116.35,727.11,road
21,1127.76,755.63,road
22,1074.51,816.5,road
23,1078.31,824.1,road
24,1091.62,846.93,road
25,1104.94,871.65,road
26,1171.51,848.83,road
27,1163.9,835.52,road
28,1154.39,812.69,road
29,1141.08,789.87,road
30,1259.0,687.16,road
31,1283.72,662.44,road
32,1302.74,647.22,road
33,1319.86,626.3,road
34,1355.99,670.05,road
35,1338.88,685.26,road
36,1304.64,685.26,road
37,1297.03,727.11,road
38,1335.07,611.09,road
39,1342.68,614.89,road
40,1354.09,595.87,road
41,1340.78,567.34,road
42,1317.96,521.7,road
43,1321.76,574.95,road
44,1298.94,533.11,road
45,1247.58,573.05,road
46,1268.51,542.62,road
47,1259.0,527.4,road
48,1245.68,533.11,road
49,1211.45,515.99,road
50,1224.76,493.17,road
51,1238.07,483.66,road
52,1224.76,460.83,road
53,1213.35,464.64,road
54,1162.0,436.11,road
55,1152.49,449.42,road
56,1141.08,438.01,road
57,1116.35,390.46,road
58,1173.41,415.19,road
59,1091.62,401.87,road
60,1133.47,485.56,road
61,1120.15,500.77,road
62,1125.86,515.99,road
63,1142.98,519.79,road
64,1057.39,377.15,road
65,1078.31,361.93,road
66,1084.02,344.82,road
67,1097.33,314.38,road
68,1120.15,291.56,road
69,1127.76,297.27,road
70,1165.8,276.35,road
71,1139.17,245.92,road
72,1152.49,232.6,road
73,1148.68,207.88,road
74,1196.23,181.25,road
75,1051.68,312.48,road
76,1051.68,297.27,road
77,1019.35,240.21,road
78,1006.04,215.48,road
79,1023.16,76.64,road
80,1034.57,55.72,road
81,1120.15,40.51,road
