id,name,category,capacity,occupants,operating_hours,status,is_open
366,School_1,School,150,0,06:00-21:00,Available,TRUE
369,School_2,School,200,0,06:00-21:00,Available,TRUE
377,School_3,School,250,0,06:00-21:00,Available,TRUE
381,School_4,School,300,0,06:00-21:00,Available,TRUE
385,School_5,School,150,0,06:00-21:00,Available,TRUE
390,School_6,School,175,0,06:00-21:00,Available,TRUE
395,School_7,School,300,0,06:00-21:00,Available,TRUE
401,School_8,School,400,0,06:00-21:00,Available,TRUE
406,School_9,School,500,0,06:00-21:00,Available,TRUE
439,Monster High,School,200,15,00:00-23:59,Available,TRUE
440,Monster High,School,200,15,06:00-21:00,Available,TRUE
441,Monster High,School,300,15,06:00-21:00,Available,TRUE
442,Monster High,School,300,15,00:00-23:59,Available,TRUE
443,Monster High,School,300,15,06:00-21:00,Available,TRUE
444,Monster High,School,350,15,06:00-21:00,Available,TRUE
445,Monster High,School,350,15,06:00-21:00,Available,TRUE
446,Monster High,School,350,15,06:00-21:00,Available,TRUE
447,Hell University,School,350,15,06:00-21:00,Available,TRUE
448,Hell University,School,350,20,06:00-21:00,Available,TRUE
450,Monster High,School,350,20,06:00-21:00,Available,TRUE
455,Gumana ka na plzzz,School,300,120,06:00-21:00,Available,TRUE
